Status,Latitude,Longitude,BoltCount,ModuleCount,MMSCount,Torque,Timestamp
START,28.336367,73.333618,0,0,0,Start,12-03-2026 12:27:57
START,28.336596,73.333488,0,0,0,Start,12-03-2026 12:28:58
START,28.336576,73.333496,0,0,0,Start,12-03-2026 12:29:08
START,28.336540,73.333519,0,0,0,Start,12-03-2026 12:29:18
START,28.336535,73.333496,0,0,0,Start,12-03-2026 12:30:00
START,28.336485,73.333511,0,0,0,Start,12-03-2026 12:30:47
START,28.336498,73.333572,0,0,0,Start,12-03-2026 12:31:11
START,28.336597,73.333397,0,0,0,Start,12-03-2026 12:33:33
START,28.336529,73.333534,0,0,0,Start,12-03-2026 12:34:51
START,28.335865,73.334206,0,0,0,Start,13-03-2026 15:35:11
RUN,28.335865,73.334206,1,0,0,NonM8,13-03-2026 15:37:06
RUN,28.335865,73.334206,2,0,1,MMS,13-03-2026 15:37:07
RUN,28.335865,73.334206,3,0,2,MMS,13-03-2026 15:37:16
RUN,28.335865,73.334206,4,0,3,MMS,13-03-2026 15:37:19
RUN,28.335865,73.334206,5,0,4,MMS,13-03-2026 15:37:35
RUN,28.335865,73.334206,6,0,5,MMS,13-03-2026 15:37:41
RUN,28.335865,73.334206,7,0,6,MMS,13-03-2026 15:37:42
RUN,28.335865,73.334206,8,0,7,MMS,13-03-2026 15:37:45
RUN,28.335865,73.334206,9,0,8,MMS,13-03-2026 15:37:55
RUN,28.335865,73.334206,10,0,9,MMS,13-03-2026 15:37:58
RUN,28.335865,73.334206,11,0,10,MMS,13-03-2026 15:38:01
START,28.336006,73.333061,0,0,0,Start,15-03-2026 10:21:35
START,28.336388,73.332596,0,0,0,Start,18-03-2026 08:28:33
START,28.336403,73.333603,0,0,0,Start,19-03-2026 07:22:03
START,28.338305,73.333443,0,0,0,Start,20-03-2026 06:25:51
START,28.337158,73.332512,0,0,0,Start,20-03-2026 06:29:58
START,28.337149,73.332527,0,0,0,Start,20-03-2026 06:30:08
START,28.337151,73.332596,0,0,0,Start,20-03-2026 06:30:17
START,28.337132,73.332649,0,0,0,Start,20-03-2026 06:30:25
START,28.337128,73.332687,0,0,0,Start,20-03-2026 06:30:32
START,28.337126,73.332726,0,0,0,Start,20-03-2026 06:31:10
START,28.337158,73.332710,0,0,0,Start,20-03-2026 06:32:49
START,28.337109,73.332726,0,0,0,Start,20-03-2026 06:33:06
START,28.337206,73.332642,0,0,0,Start,20-03-2026 06:42:29
RUN,28.337206,73.332642,1,0,0,NonM8,20-03-2026 06:46:24
RUN,28.337206,73.332642,2,0,1,MMS,20-03-2026 06:47:02
RUN,28.337206,73.332642,3,0,2,MMS,20-03-2026 06:47:04
RUN,28.337206,73.332642,4,0,3,MMS,20-03-2026 06:47:08
RUN,28.337206,73.332642,5,0,4,MMS,20-03-2026 06:47:10
RUN,28.337206,73.332642,6,0,5,MMS,20-03-2026 06:47:18
RUN,28.337206,73.332642,7,0,5,NonM8,20-03-2026 06:47:22
RUN,28.337206,73.332642,8,0,6,MMS,20-03-2026 06:47:25
RUN,28.337206,73.332642,9,0,7,MMS,20-03-2026 06:47:27
RUN,28.337206,73.332642,10,0,8,MMS,20-03-2026 06:47:33
RUN,28.337206,73.332642,11,0,9,MMS,20-03-2026 06:47:36
RUN,28.337206,73.332642,12,0,10,MMS,20-03-2026 06:47:38
RUN,28.337206,73.332642,13,0,11,MMS,20-03-2026 06:47:41
RUN,28.337206,73.332642,14,0,12,MMS,20-03-2026 06:47:49
RUN,28.337206,73.332642,15,0,13,MMS,20-03-2026 06:47:52
RUN,28.337206,73.332642,16,0,14,MMS,20-03-2026 06:47:54
RUN,28.337206,73.332642,17,0,15,MMS,20-03-2026 06:47:56
RUN,28.337206,73.332642,18,0,16,MMS,20-03-2026 06:48:02
RUN,28.337206,73.332642,19,0,17,MMS,20-03-2026 06:48:04
RUN,28.337206,73.332642,20,0,18,MMS,20-03-2026 06:48:07
RUN,28.337206,73.332642,21,0,19,MMS,20-03-2026 06:48:09
RUN,28.337206,73.332642,22,0,20,MMS,20-03-2026 06:48:13
