Status,Latitude,Longitude,BoltCount,ModuleCount,MMSCount,Torque,Timestamp
START,12.822954,77.686836,0,0,0,Start,20-02-2026 16:55:14
START,12.822927,77.687187,0,0,0,Start,20-02-2026 17:18:35
START,12.822984,77.687263,0,0,0,Start,21-02-2026 09:12:41
START,12.822912,77.687172,0,0,0,Start,21-02-2026 13:03:33
START,12.822859,77.687256,0,0,0,Start,23-02-2026 07:31:36
START,12.822680,77.687218,0,0,0,Start,23-02-2026 10:30:34
START,12.822740,77.687210,0,0,0,Start,23-02-2026 10:32:23
RUN,12.822740,77.687210,1,0,1,MMS,23-02-2026 14:58:05
RUN,12.822740,77.687210,2,0,2,MMS,23-02-2026 14:59:30
RUN,12.822740,77.687210,3,0,3,MMS,23-02-2026 14:59:36
RUN,12.822740,77.687210,4,1,3,Module,23-02-2026 14:59:39
START,12.822836,77.687279,0,0,0,Start,23-02-2026 14:59:50
RUN,12.822836,77.687279,1,0,1,MMS,23-02-2026 14:59:57
RUN,12.822836,77.687279,2,0,2,MMS,23-02-2026 15:00:01
RUN,12.822836,77.687279,3,0,3,MMS,23-02-2026 15:00:03
RUN,12.822836,77.687279,4,0,4,MMS,23-02-2026 15:00:06
RUN,12.822836,77.687279,5,1,4,Module,23-02-2026 15:00:13
RUN,12.822836,77.687279,6,2,4,Module,23-02-2026 15:00:17
RUN,12.822836,77.687279,7,3,4,Module,23-02-2026 15:00:19
RUN,12.822836,77.687279,8,4,4,Module,23-02-2026 15:00:22
